IS_Name	IS_Family	IS_Group
ISNoc1	IS3	IS407
ISNoc2	IS5	IS5
ISNol1	IS1595	IS1016
ISNosp1	IS1380	IS1380
ISNov1	ISKra4	ISAzba1
ISNov2	IS5	IS903
ISNov3	IS1595	ISNha5
ISNpa1	IS1595	ISH4
ISNpe1	IS701	IS701
ISNpe10	IS200/IS605	IS605
ISNpe11	IS200/IS605	IS1341
ISNpe12	IS200/IS605	IS1341
ISNpe13	IS630	IS630
ISNpe14	IS5	ISH1
ISNpe15	IS5	IS5
ISNpe16	IS5	IS5
ISNpe17	IS5	IS5
ISNpe18	IS5	IS5
ISNpe19	IS5	IS5
ISNpe2	IS5	IS5
ISNpe20	IS200/IS605	IS1341
ISNpe21	IS1595	ISH4
ISNpe22	IS1595	ISH4
ISNpe23	IS1595	ISH4
ISNpe24	IS66	ISBst12
ISNpe25	IS66	ISBst12
ISNpe26	IS200/IS605	IS1341
ISNpe27	IS200/IS605	IS1341
ISNpe28	IS1595	ISH4
ISNpe29	IS200/IS605	IS1341
ISNpe3	IS630	IS630
ISNpe30	IS200/IS605	IS1341
ISNpe31	IS200/IS605	IS1341
ISNpe4	IS6	IS6
ISNpe6	IS1595	ISH4
ISNpe7	IS1595	ISH4
ISNpe8	IS66	ISBst12
ISNpe9	IS6	IS6
ISNph1	IS6	IS6
ISNph10	IS200/IS605	IS1341
ISNph11	IS200/IS605	IS1341
ISNph12	IS200/IS605	IS1341
ISNph13	IS200/IS605	IS1341
ISNph14	IS200/IS605	IS1341
ISNph15	IS200/IS605	IS1341
ISNph16	IS200/IS605	IS1341
ISNph17	IS200/IS605	IS1341
ISNph18	IS200/IS605	IS1341
ISNph19	IS200/IS605	IS1341
ISNph2	IS1595	ISH4
ISNph20	IS200/IS605	IS1341
ISNph21	IS200/IS605	IS1341
ISNph22	IS200/IS605	IS1341
ISNph23	IS200/IS605	IS1341
ISNph24	IS200/IS605	IS1341
ISNph25	IS200/IS605	IS1341
ISNph26	IS200/IS605	IS1341
ISNph27	IS200/IS605	IS1341
ISNph28	IS200/IS605	IS1341
ISNph29	IS200/IS605	IS1341
ISNph3	ISH6	ISH6
ISNph4	IS5	ISH1
ISNph5	IS200/IS605	IS605
ISNph6	IS200/IS605	IS605
ISNph7	IS200/IS605	IS605
ISNph8	IS200/IS605	IS1341
ISNph9	IS200/IS605	IS1341
ISNpu1	IS1182	IS1182
ISNpu10	ISAzo13	ISAzo13
ISNpu11	IS5	ISL2
ISNpu14	ISKra4	ISMich2
ISNpu15	ISKra4	ISMich2
ISNpu16	ISKra4	ISMich2
ISNpu2	IS630	IS630
ISNpu3	IS4	IS4
ISNpu4	IS4	IS10
ISNpu5	IS701	IS701
ISNpu6	IS701	IS701
ISNpu7	IS701	IS701
ISNpu8	IS4	ISH8
ISNpu9	IS1	IS1
